Humidity,Pressure,Wspeed,Temp,Result
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,2
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,2
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,2
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,2
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,2
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,2
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,2
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-20,1
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,2
0,0,0,-10,3
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,3
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,-10,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,5
0,0,0,0,6
0,0,0,0,6
0,0,0,0,3
0,0,0,0,6
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,4
0,0,0,0,6
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,6
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,6
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,6
0,0,0,0,4
0,0,0,0,4
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,6
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,6
0,0,0,0,3
0,0,0,0,3
0,0,0,0,4
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,5
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,5
0,0,0,0,3
0,0,0,0,5
0,0,0,0,3
0,0,0,0,5
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,5
0,0,0,0,5
0,0,0,0,4
0,0,0,0,4
0,0,0,0,5
0,0,0,0,4
0,0,0,0,4
0,0,0,0,3
0,0,0,0,3
0,0,0,0,3
0,0,0,0,4
0,0,0,0,4
0,0,0,0,4
0,0,0,0,3
0,0,0,0,4
0,0,0,0,5
0,0,0,0,3
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,9
0,0,0,10,9
0,0,0,10,9
0,0,0,10,9
0,0,0,10,9
0,0,0,10,9
0,0,0,10,9
0,0,0,10,9
0,0,0,10,9
0,0,0,10,9
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,6
0,0,0,10,7
0,0,0,10,6
0,0,0,10,6
0,0,0,10,6
0,0,0,10,6
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,6
0,0,0,10,6
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,7
0,0,0,10,8
0,0,0,10,7
0,0,0,10,7
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,10,8
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,10
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,9
0,0,0,20,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
0,0,0,30,10
